_id,year,inam,type,region,exch,branch,foot,title,vols,volcount,ebooks,totexp,explm,exponetime,expongoing,expcollsup,totsal,salprf,salnprf,salstud,opexp,fringedol,fringepct,expbibue,totstfx,prfstf,nprfstf,studast,totstf,grppres,sample1,presptcp,sample2,reftrans,sample3,initcirc,item,regsearches,fedsearches,illtot,ilbtot,gatecount,phdawd,phdfld,fac,totstu,totpt,gradstu,gradpt
Library number (orig instno),Year,Library name,Type,Region,Canadian exchange rate,,,Titles held June 30 - Now includes all formats,Volumes held June 30,Basis of volume count is Physical or Bibliographic (Y/N),Electronic books,Total Library Expenditures,Total Library Materials Expenditures,One-time resource purchases,"Ongoing resource purchases (e.g. subscriptions, annual license fees)",Collection support,Total Salaries and Wages (Excluding fringe benefits),Professional staff,Support staff,Student assistants,Other operating expenditures,Fringe Benefits,Official designated percent,Consortia/Networks/Bibliographic Utilities Expenditures from External Sources,Total Staff FTE,"Professional staff, FTE","Support staff, FTE","Student assistants, FTE",Total staff,Number of library presentations to groups,Is the library presentations figure based on sampling?,Number of total participants in group presentations reported in line 14,Is the total participants figure based on sampling?,Number of reference transactions,Is the reference transactions figure based on sampling?,Number of initial circulations,Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases),Total number of filled requests provided to other libraries,Total number of filled requests received from other libraries or providers,Annual gate count,Number of Doctor's Degrees awarded in FY2014-15,Number of fields in which Doctor's Degrees can be awarded,Number of full-time instructional faculty in FY2014-15,"Full-time students, undergraduate and graduate","Part-time students, undergraduate and graduate",Full-time graduate students,Part-time graduate students
4350,2018,LAVAL,C,10,1.27,0,1,2372171,3413162,1,404470,19503496.06,9537633.07,1595865.35,7588140.16,353627.56,9319328.35,4455577.95,4863750.39,,646534.65,2271899.21,24.31,,190,67,123,,190,571,0,13338,0,32161,0,209379,3888120,3549405,,8765,5604,664965,772,86,1306,30734,14446,7633,3799
4900,2018,MIT,P,1,1,0,1,2318126,2909986,0,758981,27771707,11407018,1245136,9811225,350657,12891086,9246273,3171324,473489,3473603,3166987,25.6,,178,95,67,16,162,400,0,7647,0,14450,1,80590,7077757,5406129,73988131,22745,24941,642158,645,36,1024,11181,285,6671,248
9350,2018,WATERLOO,C,10,1.27,0,1,2292910,2357953,1,481207,17148767.72,9106811.02,1855051.18,7000519.69,251240.16,6760830.71,2774570.87,3157225.98,829033.86,1281125.98,1470877.17,,,160,44,82,34,126,320,0,11901,0,10856,0,80823,3722406,2767709,1004498,17284,18999,2358252,311,69,1259,36528,2570,4611,1249
3300,2018,HOUSTON,S,7,1,0,1,2234418,3025765,0,763369,24292731,13146695,1072985,10780425,1293285,8020759,6361153,890335,769271,3125277,1914104,30,,182,92,51,39,143,1383,0,38097,0,44616,1,70712,2867630,7005008,835408,29780,22223,1904707,830,49,1560,33123,12241,5964,2185
4600,2018,MCMASTER,C,10,1.27,0,1,2128339,2381754,0,621966,17269584.25,9982414.96,867477.95,8284304.72,830632.28,6130519.69,3438564.57,2480803.15,211151.97,1156649.61,1710024.41,29,2333.86,126,54,56,16,110,269,0,8041,0,19073,0,67452,3108400,,,10009,7320,2544802,270,50,1033,29982,1861,3811,750
1900,2018,COLORADO STATE,S,8,1,0,1,2066713,2386496,0,545493,19699537,9233079,1245259,7397425,590395,8283348,4953328,2663821,666199,2183110,2499291,28,,189,70,77,42,147,550,0,15726,0,58180,1,43967,2927474,3410354,432044,55214,24108,1442382,388,51,1379,25327,7756,3173,4387
8000,2018,SUNY-STONY BROOK,S,2,1,0,1,2014368,2273394,0,352524,15327292,9019022,152436,8551214,315372,5965673,5766667,,199006,342597,,,41939,96,82,,14,82,415,0,11740,0,5947,0,53056,2215497,1567180,361189363,15639,9828,2022169,584,58,1810,21770,4219,5558,3067
3000,2018,GUELPH,C,10,1.27,1,1,1902364,2241190,1,682611,13907533.86,6449160.63,1305147.24,4489388.98,654624.41,6630745.67,4450388.98,1947792.13,232564.57,827627.56,1838563.78,27.7,,127,59,55,13,114,2136,0,49023,0,25314,0,44723,3610266,,,16594,13540,1444905,167,,767,21326,2136,2372,210
2950,2018,GEORGIA TECH,S,5,1,0,1,1707842,2382302,0,1257098,17680803,8981822,949313,8032509,0,5984587,3890828,2083759,10000,2714394,0,29,,87,47,40,,87,443,0,10068,0,6146,0,8190,2181757,2359381,0,4628,4508,1383082,508,40,1115,20483,8893,6509,7294
9930,2018,NATL LIB OF MEDICINE,N,5,1,0,1,1553934,2941855,1,26453,60417961,13495947,1530155,11121890,843902,21355159,19182384,2135662,37113,25566855,6955640,28,,235,194,33,8,227,338,0,3514,0,6452,0,52782,0,0,0,111235,50,0,0,0,0,0,0,0,0
3400,2018,HOWARD,P,5,1,0,1,1364951,1327554,0,439180,7236498,2983157,121899,2846258,15000,3728506,2575389,1069414,83703,52000,740331,25,170997,74,27,32,15,59,216,1,4477,1,3795,0,7363,341410,433225,1153,10912,4710,152803,223,31,665,9059,749,2969,485
9910,2018,NATL AGRICULTURAL LIB,N,5,1,0,1,1292308,2464369,0,179919,21874154,5837913,238019,5433656,166238,7454205,6346376,1061239,46590,8582036,2422315,33,,76,58,18,,76,50,0,1125,0,3113,0,871,,,,2598,1370,,,,,,,,
4420,2018,LOUISVILLE,S,6,1,1,1,992427,2234811,0,192910,17817610,11000067,1810835,8904526,284706,5045732,3135264,1669479,240989,1771811,1755983,28.54,100972,117,45,53,19,98,661,0,15152,0,15928,0,79334,1376932,2728328,0,20961,35484,2175739,509,41,936,16951,5508,4089,1835
9980,2018,SMITHSONIAN,N,5,1,0,1,921077,2149136,1,86,12620351,2797557,299210,1550277,948070,9289651,7064030,2222086,3535,533143,2939979,30,47651,128,77,46,5,123,941,0,51151,0,22233,0,25230,134765,174544,6758,2259,5299,5374,,,,,,,
8550,2018,TEXAS TECH,S,7,1,1,1,866372,3718570,1,734131,29261528,15696378,1433789,14127660,134929,11376371,6034635,4534059,807677,2188779,3576110,29,,273,88,132,53,220,1105,0,15785,0,175596,0,204130,4391334,2165427,0,27439,39409,1434381,963,60,2359,34590,7194,6161,3553
9915,2018,NATL ARCHIVES,N,5,1,0,1,262048,2361538462,1,,282242261,120000,2000,118000,0,115756261,,,,166366000,66393639,36.45,,2789,1831,957,1,2788,3361,0,417726,0,78014,0,100,,,,0,60,88879,,,,,,,
9850,2018,BOSTON PUBLIC,N,1,1,0,0,,23421600,1,115019,43645889,4531303,104692,4426611,0,26665985,14650015,12015970,0,12448601,6786493,,,682,456,209,17,665,2104,0,37654,1,369836,1,4924031,,,,15847,11246,3735208,,,,,,,
9870,2018,CENTER FOR RESEARCH LIBS,N,3,1,0,1,,,0,,5235000,1900000,,,,3335000,2633760,573173,128067,,1221580,,,59,35,18,6,53,20,0,653,0,,0,23046,,,,15949,6,,,,,,,,
