node,url,rank,label,include
unomaha_library,https://www.unomaha.edu/criss-library/,0,home,TRUE
unr_library,https://library.unr.edu/,0,home,TRUE
unt_library,https://library.unt.edu/,0,home,TRUE
uoguelph_library,https://www.lib.uoguelph.ca/,0,home,TRUE
uoregon_library,https://library.uoregon.edu/,0,home,TRUE
uottawa_library,http://www.biblio.uottawa.ca/,0,home,TRUE
upenn_library,https://www.library.upenn.edu/,0,home,TRUE
upr_library,https://www.upr.edu/biblioteca-rrp/,0,home,TRUE
uri_library,https://web.uri.edu/library/,0,home,TRUE
usask_library,http://library.usask.ca/,0,home,TRUE
usc_library,https://libraries.usc.edu/,0,home,TRUE
usd_library,https://www.usd.edu/library,0,home,TRUE
usf_library,https://lib.usf.edu/,0,home,TRUE
usm_library,http://www.lib.usm.edu/,0,home,TRUE
usu_library,https://library.usu.edu/,0,home,TRUE
uta_library,https://libraries.uta.edu/,0,home,TRUE
utah_library,https://lib.utah.edu/,0,home,TRUE
utdallas_library,https://www.utdallas.edu/library/,0,home,TRUE
utep_library,https://www.utep.edu/library/,0,home,TRUE
utexas_library,https://www.lib.utexas.edu/,0,home,TRUE
utk_library,https://www.lib.utk.edu/,0,home,TRUE
utoledo_library,https://www.utoledo.edu/library/,0,home,TRUE
utoronto_library,http://www.library.utoronto.ca/,0,home,TRUE
utrgv_library,https://www.utrgv.edu/library/,0,home,TRUE
utsa_library,https://lib.utsa.edu/,0,home,TRUE
utulsa_library,https://library.utulsa.edu/,0,home,TRUE
uvm_library,https://library.uvm.edu/,0,home,TRUE
uwaterloo_library,http://www.lib.uwaterloo.ca/,0,home,TRUE
uwm_library,https://uwm.edu/libraries/,0,home,TRUE
uwo_library,http://www.lib.uwo.ca/,0,home,TRUE
uwyo_library,http://www.uwyo.edu/libraries/,0,home,TRUE
vahistorical,http://www.vahistorical.org,0,home,TRUE
vanderbilt_library,https://www.library.vanderbilt.edu/,0,home,TRUE
vcu_library,https://www.library.vcu.edu/,0,home,TRUE
villanova_library,https://library.villanova.edu/,0,home,TRUE
virginia_library,https://www.library.virginia.edu/,0,home,TRUE
vt_library,https://lib.vt.edu/,0,home,TRUE
washington_library,http://www.lib.washington.edu/,0,home,TRUE
wayne_library,https://library.wayne.edu/,0,home,TRUE
wfu_library,https://zsr.wfu.edu/,0,home,TRUE
wichita_library,https://libraries.wichita.edu/,0,home,TRUE
winterthur,http://www.winterthur.org,0,home,TRUE
wisc_library,https://www.library.wisc.edu/,0,home,TRUE
wm_library,https://libraries.wm.edu/,0,home,TRUE
wmich_library,https://wmich.edu/library,0,home,TRUE
wpi_library,https://www.wpi.edu/library,0,home,TRUE
wright_library,https://www.libraries.wright.edu/,0,home,TRUE
wsu_library,https://libraries.wsu.edu/,0,home,TRUE
wustl_library,https://library.wustl.edu/,0,home,TRUE
wvu_library,https://library.wvu.edu/,0,home,TRUE
yale_library,https://web.library.yale.edu/,0,home,TRUE
yorku_library,http://www.library.yorku.ca/,0,home,TRUE
yu_library,https://library.yu.edu/,0,home,TRUE
famu_library,https://library.famu.edu/srch.php,1,home,
aamu,https://www.aamu.edu/,0,home,
afit,https://www.afit.edu/EN/,0,home,
albany,https://www.albany.edu/,0,home,
american,https://american.edu/,0,home,
americanantiquarian,https://www.americanantiquarian.org,1,home,
anahuac,https://www.anahuac.mx/,0,home,
apu,https://www.apu.edu/,0,home,
arizona,https://www.arizona.edu/,0,home,
arizona_library,https://new.library.arizona.edu/,1,home,
astate,https://www.astate.edu/,0,home,
asu,https://www.asu.edu/,0,home,
asu,http://asu.edu/lib/,1,home,
asu_phoenix,https://www.asu.edu/about/colleges-and-schools/downtown-phoenix,0,home,
asurams,https://www.asurams.edu/,0,home,
auburn,http://www.auburn.edu/,0,home,
auraria,https://www.ahec.edu/,0,home,
baylor,https://www.baylor.edu/,0,home,
bc,https://www.bc.edu/,0,home,
berkeley,https://www.berkeley.edu/,0,home,
berkeley_library,https://www.lib.berkeley.edu/,1,home,
bgsu,https://www.bgsu.edu/,0,home,
binghamton,https://www.binghamton.edu/,0,home,
boisestate,https://www.boisestate.edu/,0,home,
bowiestate,https://www.bowiestate.edu/,1,home,
brandeis,https://www.brandeis.edu/,0,home,
brown,https://www.brown.edu/,0,home,
bsu,https://www.bsu.edu/,0,home,
bu,https://www.bu.edu/,0,home,
bu_library,https://www.bu.edu/library/,1,home,
buap,https://www.buap.mx/,0,home,
buffalo,http://www.buffalo.edu/,0,home,
byu,https://www.byu.edu/,0,home,
caltech,https://www.caltech.edu/,0,home,
camden,https://camden.rutgers.edu/new/,0,home,
carli,https://www.carli.illinois.edu/,0,home,
